Parents Properties
Monster{eyesColor='brown', featherColor='blue', magicalAbility='Invisibility', size=80, strength=92, durability=70, weakness=20, agression=86}
Monster{eyesColor='blue', featherColor='yellow', magicalAbility='Flying', size=70, strength=68, durability=65, weakness=40, agression=64}
Children Properties
Child 1: Monster{eyesColor='blue', featherColor='blue', magicalAbility='Invisibility', size=80, strength=92, durability=70, weakness=40, agression=64}
Child 2: Monster{eyesColor='brown', featherColor='blue', magicalAbility='Flying', size=80, strength=68, durability=70, weakness=40, agression=86}
Child 3: Monster{eyesColor='brown', featherColor='blue', magicalAbility='Flying', size=70, strength=92, durability=70, weakness=40, agression=64}
Child 4: Monster{eyesColor='brown', featherColor='yellow', magicalAbility='Invisibility', size=70, strength=92, durability=65, weakness=20, agression=86}
Child 5: Monster{eyesColor='brown', featherColor='blue', magicalAbility='Flying', size=80, strength=92, durability=65, weakness=20, agression=64}
Child 6: Monster{eyesColor='brown', featherColor='blue', magicalAbility='Invisibility', size=70, strength=92, durability=65, weakness=40, agression=86}
Child 7: Monster{eyesColor='blue', featherColor='blue', magicalAbility='Flying', size=80, strength=92, durability=70, weakness=20, agression=64}
Child 8: Monster{eyesColor='blue', featherColor='blue', magicalAbility='Flying', size=80, strength=68, durability=65, weakness=40, agression=86}
Child 9: Monster{eyesColor='brown', featherColor='blue', magicalAbility='Flying', size=80, strength=92, durability=70, weakness=40, agression=86}
Child 10: Monster{eyesColor='blue', featherColor='blue', magicalAbility='Flying', size=70, strength=68, durability=70, weakness=20, agression=86}
Child 11: Monster{eyesColor='blue', featherColor='blue', magicalAbility='Invisibility', size=70, strength=68, durability=65, weakness=20, agression=86}
Child 12: Monster{eyesColor='blue', featherColor='blue', magicalAbility='Invisibility', size=70, strength=92, durability=65, weakness=40, agression=86}
Child 13: Monster{eyesColor='blue', featherColor='blue', magicalAbility='Flying', size=70, strength=68, durability=65, weakness=20, agression=86}
Child 14: Monster{eyesColor='blue', featherColor='yellow', magicalAbility='Flying', size=70, strength=68, durability=65, weakness=40, agression=64}
Child 15: Monster{eyesColor='blue', featherColor='blue', magicalAbility='Flying', size=80, strength=92, durability=65, weakness=20, agression=64}
Child 16: Monster{eyesColor='brown', featherColor='yellow', magicalAbility='Flying', size=80, strength=68, durability=70, weakness=40, agression=86}
Child 17: Monster{eyesColor='blue', featherColor='blue', magicalAbility='Flying', size=70, strength=92, durability=65, weakness=40, agression=64}
Child 18: Monster{eyesColor='blue', featherColor='yellow', magicalAbility='Invisibility', size=80, strength=68, durability=70, weakness=20, agression=64}
Child 19: Monster{eyesColor='blue', featherColor='blue', magicalAbility='Invisibility', size=70, strength=68, durability=65, weakness=40, agression=86}
Child 20: Monster{eyesColor='blue', featherColor='yellow', magicalAbility='Invisibility', size=80, strength=68, durability=65, weakness=40, agression=64}
Child 21: Monster{eyesColor='brown', featherColor='blue', magicalAbility='Flying', size=70, strength=68, durability=70, weakness=20, agression=86}
Child 22: Monster{eyesColor='blue', featherColor='blue', magicalAbility='Invisibility', size=70, strength=68, durability=70, weakness=40, agression=64}
Child 23: Monster{eyesColor='blue', featherColor='yellow', magicalAbility='Flying', size=80, strength=68, durability=65, weakness=40, agression=86}
Child 24: Monster{eyesColor='brown', featherColor='blue', magicalAbility='Invisibility', size=70, strength=68, durability=65, weakness=40, agression=86}
Child 25: Monster{eyesColor='blue', featherColor='yellow', magicalAbility='Invisibility', size=70, strength=68, durability=70, weakness=40, agression=86}
Child 26: Monster{eyesColor='blue', featherColor='yellow', magicalAbility='Flying', size=80, strength=92, durability=65, weakness=20, agression=64}
Child 27: Monster{eyesColor='brown', featherColor='blue', magicalAbility='Invisibility', size=70, strength=68, durability=70, weakness=20, agression=86}
Child 28: Monster{eyesColor='blue', featherColor='yellow', magicalAbility='Invisibility', size=70, strength=92, durability=65, weakness=20, agression=86}
Child 29: Monster{eyesColor='brown', featherColor='yellow', magicalAbility='Invisibility', size=80, strength=68, durability=70, weakness=40, agression=86}
Child 30: Monster{eyesColor='brown', featherColor='yellow', magicalAbility='Invisibility', size=70, strength=92, durability=70, weakness=40, agression=86}
Child 31: Monster{eyesColor='brown', featherColor='blue', magicalAbility='Flying', size=80, strength=68, durability=65, weakness=20, agression=64}
Child 32: Monster{eyesColor='blue', featherColor='blue', magicalAbility='Invisibility', size=80, strength=92, durability=65, weakness=20, agression=64}
Child 33: Monster{eyesColor='brown', featherColor='yellow', magicalAbility='Invisibility', size=80, strength=68, durability=65, weakness=40, agression=64}
Child 34: Monster{eyesColor='blue', featherColor='yellow', magicalAbility='Flying', size=80, strength=68, durability=70, weakness=20, agression=64}
Child 35: Monster{eyesColor='blue', featherColor='yellow', magicalAbility='Flying', size=80, strength=92, durability=65, weakness=40, agression=86}
Child 36: Monster{eyesColor='blue', featherColor='yellow', magicalAbility='Flying', size=70, strength=68, durability=65, weakness=20, agression=86}
Child 37: Monster{eyesColor='brown', featherColor='yellow', magicalAbility='Invisibility', size=80, strength=92, durability=65, weakness=20, agression=86}
Child 38: Monster{eyesColor='blue', featherColor='yellow', magicalAbility='Flying', size=70, strength=92, durability=65, weakness=40, agression=86}
Child 39: Monster{eyesColor='brown', featherColor='blue', magicalAbility='Invisibility', size=80, strength=68, durability=65, weakness=20, agression=64}
Child 40: Monster{eyesColor='blue', featherColor='blue', magicalAbility='Flying', size=70, strength=68, durability=65, weakness=40, agression=86}
Child 41: Monster{eyesColor='brown', featherColor='yellow', magicalAbility='Flying', size=70, strength=68, durability=65, weakness=20, agression=86}
Child 42: Monster{eyesColor='brown', featherColor='blue', magicalAbility='Flying', size=80, strength=68, durability=70, weakness=40, agression=64}
Child 43: Monster{eyesColor='brown', featherColor='yellow', magicalAbility='Invisibility', size=80, strength=68, durability=70, weakness=20, agression=86}
Child 44: Monster{eyesColor='brown', featherColor='yellow', magicalAbility='Invisibility', size=70, strength=68, durability=70, weakness=40, agression=86}
Child 45: Monster{eyesColor='brown', featherColor='blue', magicalAbility='Flying', size=70, strength=92, durability=65, weakness=40, agression=86}
Child 46: Monster{eyesColor='brown', featherColor='yellow', magicalAbility='Invisibility', size=70, strength=92, durability=65, weakness=20, agression=64}
Child 47: Monster{eyesColor='blue', featherColor='blue', magicalAbility='Flying', size=70, strength=68, durability=70, weakness=40, agression=86}
Child 48: Monster{eyesColor='brown', featherColor='blue', magicalAbility='Invisibility', size=80, strength=68, durability=70, weakness=40, agression=86}
Child 49: Monster{eyesColor='blue', featherColor='yellow', magicalAbility='Invisibility', size=70, strength=68, durability=70, weakness=20, agression=64}
Child 50: Monster{eyesColor='blue', featherColor='blue', magicalAbility='Flying', size=80, strength=68, durability=65, weakness=40, agression=64}
Child 51: Monster{eyesColor='blue', featherColor='yellow', magicalAbility='Invisibility', size=80, strength=92, durability=65, weakness=40, agression=86}
Child 52: Monster{eyesColor='brown', featherColor='blue', magicalAbility='Flying', size=80, strength=92, durability=70, weakness=40, agression=64}
Child 53: Monster{eyesColor='blue', featherColor='blue', magicalAbili
